city,year,party,tot_invest,administration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest
ancona,2010,PD,"INVESTIMENTI 20,1 milioni ","INVESTIMENTI 1,7 milioni ","INVESTIMENTI 2,0 milioni ","INVESTIMENTI 9,1 milioni ","INVESTIMENTI 2,1 milioni ","INVESTIMENTI 2,9 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 781103 ,INVESTIMENTI 0 ,INVESTIMENTI 204908 ,INVESTIMENTI 0 ,INVESTIMENTI 89864 ,INVESTIMENTI 92444 
,,,,,,,,,,,,,,,
ancona,2011,PD,"INVESTIMENTI 19,3 milioni ","INVESTIMENTI 1,2 milioni ","INVESTIMENTI 1,3 milioni ","INVESTIMENTI 8,5 milioni ","INVESTIMENTI 3,3 milioni ","INVESTIMENTI 2,6 milioni ","INVESTIMENTI 2,2 milioni ",INVESTIMENTI 174524 ,INVESTIMENTI 0 ,INVESTIMENTI 43759 ,INVESTIMENTI 0 ,INVESTIMENTI 4800 ,INVESTIMENTI 39539 
,,,,,,,,,,,,,,,
ancona,2012,PD,"INVESTIMENTI 16,6 milioni ",INVESTIMENTI 883985 ,"INVESTIMENTI 1,3 milioni ","INVESTIMENTI 6,7 milioni ","INVESTIMENTI 3,5 milioni ","INVESTIMENTI 2,1 milioni ","INVESTIMENTI 1,4 milioni ",INVESTIMENTI 621512 ,INVESTIMENTI 0 ,INVESTIMENTI 171076 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 23621 
,,,,,,,,,,,,,,,
ancona,2013,more_party,"INVESTIMENTI 12,4 milioni ",INVESTIMENTI 488147 ,"INVESTIMENTI 1,1 milioni ","INVESTIMENTI 5,8 milioni ","INVESTIMENTI 3,1 milioni ","INVESTIMENTI 1,5 milioni ",INVESTIMENTI 80348 ,INVESTIMENTI 339867 ,INVESTIMENTI 0 ,INVESTIMENTI 15980 ,INVESTIMENTI 10759 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
ancona,2014,PD,"INVESTIMENTI 11,1 milioni ",INVESTIMENTI 478717 ,"INVESTIMENTI 1,4 milioni ","INVESTIMENTI 3,0 milioni ","INVESTIMENTI 4,4 milioni ","INVESTIMENTI 1,3 milioni ",INVESTIMENTI 131679 ,INVESTIMENTI 355685 ,INVESTIMENTI 0 ,INVESTIMENTI 3033 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
