year,amministration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest,orientation
2012,24.31,11.16,12.05,26.83,15.88,6.73,2.1,0.0,0.07,2.2,0.01,0.01,Left
2013,36.36,5.89,9.02,33.33,8.6,4.52,2.54,0.0,0.02,0.0,0.0,0.0,Left
2014,22.81,11.65,13.31,33.33,5.44,9.37,2.72,0.8,0.02,0.0,0.7,0.0,Left
2005,28.99,3.09,34.04,18.24,8.14,4.23,1.05,0.01,0.58,0.33,0.17,1.33,Left
2006,42.64,2.99,11.47,26.18,4.24,6.73,2.24,0.08,2.23,0.52,0.0,0.72,Left
2007,47.7,4.85,11.22,19.13,4.08,6.38,1.98,0.1,3.83,0.01,0.01,0.3,Left
2008,54.68,4.68,8.39,15.81,5.0,4.68,4.35,0.15,1.94,0.06,0.1,0.04,Left
2010,12.05,3.46,25.0,44.2,6.25,0.93,4.91,0.05,0.5,1.47,0.51,0.44,Left
2011,8.11,2.9,25.41,36.76,11.35,9.73,3.9,0.04,0.61,0.0,0.58,0.44,Left
2012,5.76,4.64,30.89,34.55,14.66,1.68,2.97,0.04,3.28,0.04,0.13,0.51,Left
2013,27.05,5.74,17.62,28.69,9.43,2.0,2.22,0.45,6.56,0.0,0.34,0.0,Left
2005,36.24,3.2,16.68,18.56,5.77,4.45,2.13,0.0,1.25,0.4,0.35,10.85,Left
2006,30.68,2.53,13.66,27.2,6.77,4.93,1.9,0.0,1.14,0.31,0.89,9.93,Left
2007,34.38,1.44,14.7,26.11,6.08,5.19,2.94,0.02,0.75,0.22,0.56,7.59,Left
2008,37.17,1.04,11.45,37.56,3.36,2.71,0.94,0.0,0.54,0.0,0.64,4.64,Left
2010,7.05,1.58,14.51,47.76,5.39,6.88,1.41,0.01,1.33,0.0,0.22,13.85,Left
2011,9.53,2.66,8.91,27.66,5.47,35.47,3.12,0.0,0.82,0.0,1.3,5.0,Left
2012,10.4,1.51,17.01,34.59,4.73,24.01,4.35,0.04,0.23,0.0,0.41,2.84,Left
2013,8.79,3.52,6.71,28.47,8.99,37.46,2.87,0.23,0.33,0.0,0.59,2.08,Left
