year,amministration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest,orientation
2014,18.33,1.9,3.71,40.83,16.67,5.25,11.67,0.0,0.31,0.01,0.17,0.69,Left
2006,31.71,13.01,6.91,10.57,21.95,8.94,4.62,0.03,0.28,0.0,1.04,0.0,Right
2007,25.81,6.5,7.24,13.98,24.73,11.83,5.84,1.45,0.16,0.0,1.77,0.96,Right
2008,18.78,2.47,8.16,55.1,6.12,2.44,3.87,0.39,0.03,0.0,0.7,2.23,Right
2009,19.05,9.82,15.48,25.0,22.62,2.54,4.0,0.51,0.06,0.0,1.01,0.46,Right
2010,15.38,13.59,12.96,16.92,23.08,8.58,5.71,1.32,0.05,0.0,2.17,0.0,Right
2012,17.05,4.23,13.64,32.95,18.18,1.96,5.83,0.0,0.0,0.0,7.71,0.0,Right
2013,12.5,4.41,29.69,27.34,14.06,0.96,5.48,0.07,0.0,0.0,4.26,0.0,Right
2014,22.22,9.39,11.44,35.19,16.18,0.99,3.45,0.13,0.18,0.0,0.63,0.0,Right
2005,68.97,3.94,7.83,14.97,1.24,0.19,1.0,0.0,0.46,0.32,0.13,0.96,Left
2006,67.09,2.08,5.71,13.04,1.0,5.98,0.66,0.0,0.35,0.0,0.13,4.01,Left
2007,58.54,1.92,8.42,19.62,1.68,6.34,0.45,0.12,0.22,0.0,0.05,2.7,Left
2008,64.82,0.96,8.19,19.93,1.47,0.9,1.13,0.0,0.23,0.0,0.45,1.98,Left
2009,61.1,3.15,13.9,16.71,1.17,0.23,0.57,0.09,0.13,0.0,0.28,2.69,Left
2011,57.99,3.02,7.99,19.82,0.73,0.68,0.46,0.0,0.49,0.0,0.47,8.24,Left
2012,62.83,2.51,7.01,13.72,0.2,3.98,0.81,0.0,0.88,0.0,1.33,6.78,Left
2013,60.98,1.35,5.62,22.74,1.4,0.78,0.5,0.0,0.31,0.02,1.35,4.89,Left
2014,61.77,0.57,6.15,24.86,2.87,0.9,0.98,0.0,0.23,0.12,0.28,1.31,Left
2005,22.52,2.26,13.25,26.49,2.46,14.57,7.95,0.0,9.27,0.08,0.0,0.65,Right
2006,29.75,5.84,9.49,14.56,4.62,22.15,2.61,0.0,10.13,0.06,0.0,0.84,Right
2007,48.0,2.32,11.2,12.8,10.4,10.4,2.36,0.0,1.74,0.0,0.0,0.48,Right
2008,44.59,2.12,13.51,14.86,5.41,13.16,2.1,0.0,0.7,0.0,0.0,1.7,Right
2010,27.52,1.28,35.78,23.85,5.77,4.21,0.19,0.0,0.55,0.0,0.46,0.22,Right
2011,37.19,8.26,14.05,21.49,5.71,5.72,3.36,0.0,1.89,0.0,1.8,0.43,Right
2012,29.85,13.23,13.7,25.37,5.57,8.59,2.96,0.0,0.82,0.0,0.0,0.79,Right
2013,21.54,0.86,13.43,32.31,4.13,11.03,14.35,0.0,0.36,0.0,0.0,1.35,Right
2005,41.6,6.64,6.02,26.57,5.14,10.03,2.26,0.0,0.02,0.57,0.02,1.03,Left
2006,33.97,4.23,5.85,29.74,8.77,14.62,1.71,0.0,0.02,0.02,0.33,0.83,Left
2008,35.79,0.28,8.91,24.61,15.28,8.91,4.95,0.0,0.12,0.0,0.13,0.98,Right
2009,31.8,1.1,9.54,32.51,7.24,8.83,6.18,0.0,0.0,0.82,0.98,0.85,Right
2010,36.98,0.9,4.73,29.59,6.51,11.24,5.33,0.0,0.02,2.25,1.72,1.15,Right
2011,17.22,1.44,5.14,53.98,5.66,7.71,5.14,0.0,0.02,1.95,0.59,1.25,Right
2013,16.2,2.6,10.28,36.14,7.17,5.61,4.67,0.0,17.13,0.0,0.13,0.2,Right
2014,16.43,0.58,20.36,25.0,16.43,17.5,2.98,0.0,0.0,0.0,0.17,0.23,Right
2005,17.0,0.74,31.0,23.0,4.51,0.56,10.0,0.0,0.3,0.0,0.17,12.0,Left
2006,39.08,0.79,31.03,16.09,5.75,0.54,0.86,0.0,0.01,0.0,0.01,6.52,Left
2007,21.55,1.99,26.72,31.03,4.59,10.34,3.51,0.0,0.0,0.0,0.09,0.0,Left
2008,25.79,1.31,36.48,32.7,1.91,1.68,0.81,0.0,0.0,0.0,0.02,0.0,Left
2009,31.0,0.52,37.0,25.0,1.53,1.24,3.49,0.0,0.0,0.0,0.07,0.0,Left
2011,9.16,0.94,43.55,29.03,15.25,0.0,0.62,0.0,1.49,0.0,0.64,0.0,Right
2012,16.56,0.65,51.35,20.05,5.43,1.15,0.76,0.0,4.74,0.0,0.18,0.29,Right
2013,13.13,0.11,16.66,60.42,5.62,0.0,0.0,0.0,0.8,0.0,0.02,1.66,Right
2014,8.76,0.42,16.24,61.82,5.88,0.23,0.88,0.0,0.45,0.0,0.0,3.85,Right
2005,65.79,4.56,8.77,9.65,5.44,2.63,2.63,0.06,0.21,0.0,0.0,0.05,Right
2006,77.7,3.48,4.92,4.2,1.32,7.07,1.2,0.0,0.0,0.0,0.0,0.05,Right
2007,18.84,3.88,8.03,23.82,6.65,24.65,3.32,0.0,0.0,0.0,0.0,10.53,Right
2009,21.27,4.05,17.22,17.47,7.85,10.38,3.04,0.0,0.03,0.0,0.08,18.48,Left
2010,23.62,1.98,13.59,24.92,11.33,14.24,8.09,0.0,0.05,0.0,0.53,2.28,Left
2011,40.08,2.35,6.61,18.68,7.78,16.34,7.39,0.0,0.04,0.0,0.4,0.68,Left
2012,24.51,3.73,10.39,36.08,6.86,8.43,8.63,0.0,0.4,0.0,0.0,1.08,Left
2014,25.61,5.49,18.9,29.27,10.37,5.6,5.23,0.0,0.1,0.0,0.0,0.01,Left
2005,11.11,13.45,50.29,7.6,4.24,0.92,5.6,0.0,0.22,0.0,0.45,6.43,Right
2006,14.63,9.76,34.96,9.76,4.94,0.0,9.76,0.0,12.2,0.0,0.47,4.57,Right
2007,9.42,5.51,36.23,6.97,8.7,0.92,18.12,0.0,11.59,0.0,0.28,1.5,Right
2009,14.29,3.61,37.14,27.14,7.6,0.56,7.75,0.0,0.08,1.0,0.48,0.0,Right
2010,8.22,6.7,26.23,39.34,12.06,3.87,0.51,0.0,3.16,0.0,0.93,0.0,Right
2011,9.32,13.6,37.68,24.64,6.03,6.15,1.18,0.0,0.51,0.0,0.5,0.0,Right
2012,13.7,11.74,15.07,50.68,4.53,0.58,0.21,0.0,0.03,0.0,2.24,0.0,Right
2014,48.86,22.73,9.74,6.32,2.08,9.63,0.12,0.0,0.0,0.0,1.03,0.0,Left
