Name,Zone,Price,Surface,Zone_num
"Monolocale via Sant'Alessandro Sauli, Pasteur, Milano",pasteur-rovereto,850,45.0,3
"Monolocale via Sant'Alessandro Sauli, Pasteur, Milano",pasteur-rovereto,850,65.0,3
"Bilocale via TOLMEZZO 3, Udine, Milano",pasteur-rovereto,1000,72.0,3
"Trilocale ottimo stato, quinto piano, Casoretto, Milano",pasteur-rovereto,1200,85.0,3
"Bilocale via Giorgio Chavez 20, Parco Trotter, Milano",pasteur-rovereto,1100,66.0,3
"Monolocale viale padova., Parco Trotter, Milano",pasteur-rovereto,900,30.0,3
"Bilocale via Padova,35, Pasteur, Milano",pasteur-rovereto,1400,47.0,3
"Monolocale via Padova,31, Pasteur, Milano",pasteur-rovereto,1000,40.0,3
"Monolocale via Padova,31, Pasteur, Milano",pasteur-rovereto,1200,40.0,3
"Monolocale via Luigi Pasteur,2, Pasteur, Milano",pasteur-rovereto,1400,40.0,3
"Monolocale via dei Transiti,21, Pasteur, Milano",pasteur-rovereto,1700,50.0,3
"Monolocale via Clitumno,23, Parco Trotter, Milano",pasteur-rovereto,1750,50.0,3
"Bilocale via Luigi Pasteur,2, Pasteur, Milano",pasteur-rovereto,1400,50.0,3
"Appartamento via Guido Guinizelli,6, Pasteur, Milano",pasteur-rovereto,1650,50.0,3
"Bilocale piazza Francesco Durante 36, Parco Trotter, Milano",pasteur-rovereto,800,35.0,3
"Monolocale via Martiri Oscuri, 6, Rovereto, Milano",pasteur-rovereto,1140,45.0,3
"Appartamento via Pietro Crespi,11, Pasteur, Milano",pasteur-rovereto,1000,16.0,3
"Monolocale via Marco Aurelio, Parco Trotter, Milano",pasteur-rovereto,690,20.0,3
"Appartamento via Giovanni Ricordi, 19, Casoretto, Milano",pasteur-rovereto,1350,82.0,3
"Trilocale ottimo stato, Rovereto, Milano",pasteur-rovereto,1400,60.0,3
"Appartamento via Rovereto 10, Rovereto, Milano",pasteur-rovereto,285,20.0,3
"Monolocale via Padova 5, Pasteur, Milano",pasteur-rovereto,1000,30.0,3
"Appartamento via Padova 76, Parco Trotter, Milano",pasteur-rovereto,900,30.0,3
"Monolocale viale Monza 43, Pasteur, Milano",pasteur-rovereto,850,65.0,3
"Bilocale piazza Sire Raul 1, Parco Trotter, Milano",pasteur-rovereto,1490,95.0,3
"Bilocale viale Monza, Pasteur, Milano",pasteur-rovereto,950,50.0,3
"Trilocale via Ferrante Aporti 54, Rovereto, Milano",pasteur-rovereto,1290,60.0,3
"Bilocale via Clitumno 19, Parco Trotter, Milano",pasteur-rovereto,750,40.0,3
