Name,Zone,Price,Surface
"Trilocale via via Pompeo Mariani 8, Ponte Nuovo, Milano",precotto-turro,2750,120
"Bilocale via Padova 95, Turro, Milano",precotto-turro,880,55
"Trilocale via via Ilarione Rancati 24, Turro, Milano",precotto-turro,2550,100
"Trilocale via Matteo Maria Boiardo 5, Turro, Milano",precotto-turro,1700,80
"Quadrilocale via Ernesto Breda, Bicocca, Milano",precotto-turro,1750,80
"Quadrilocale via Andrea Cesalpino 60, Gorla, Milano",precotto-turro,2300,95
"Bilocale viale Monza 317, Villa San Giovanni, Milano",precotto-turro,1250,49
"Quadrilocale viale Monza, Gorla, Milano",precotto-turro,1750,98
"Monolocale piazza dei Piccoli Martiri 7, Gorla, Milano",precotto-turro,870,21
"Bilocale via Stefanardo da Vimercate 19, Gorla, Milano",precotto-turro,980,45
"Bilocale via Guanella, 14, Precotto, Milano",precotto-turro,920,50
"Attico viale Monza 177, Gorla, Milano",precotto-turro,"11001250(-12,0%)",64
"Trilocale via Matteo Maria Boiardo, Turro, Milano",precotto-turro,1700,80
"Bilocale via Esiodo, 1, Precotto, Milano",precotto-turro,900,50
"Bilocale via rucellai 37, Precotto, Milano",precotto-turro,"18001950(-7,7%)",66
"Loft via Jean Jaures 17, Turro, Milano",precotto-turro,1000,35
"Trilocale via Fortezza, Villa San Giovanni, Milano",precotto-turro,1200,55
"Bilocale viale Monza 347, Villa San Giovanni, Milano",precotto-turro,1600,70
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60
"Bilocale viale Monza, Turro, Milano",precotto-turro,1120,55
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,1295,19
"Trilocale via Filippo Tommaso Marinetti, Turro, Milano",precotto-turro,1200,110
"Bilocale via Liscate,2, Gorla, Milano",precotto-turro,"14501550(-6,5%)",65
"Bilocale ottimo stato, piano rialzato, Turro, Milano",precotto-turro,800,50
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,1731,29
"Bilocale viale Monza, Precotto, Milano",precotto-turro,950,54
"Trilocale via Monte San Gabriele, Gorla, Milano",precotto-turro,1150,50
"Bilocale via bertelli 16, Turro, Milano",precotto-turro,1268,63
"Monolocale via Frigia, Precotto, Milano",precotto-turro,1495,23
"Loft via Adelaide Bono Cairoli 30, Turro, Milano",precotto-turro,1300,83
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,1105,16
"Monolocale via Angelo Mosso 47, Turro, Milano",precotto-turro,1300,25
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,899,14
"Bilocale via Luigi Cislaghi 5, Precotto, Milano",precotto-turro,800,45
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,959,16
"Trilocale via Matteo Maria Boiardo 27, Turro, Milano",precotto-turro,1250,80
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60
"Bilocale via della Torre 16, Turro, Milano",precotto-turro,890,25
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,1428,22
"Trilocale via matteo maria boiardo, Turro, Milano",precotto-turro,1700,80
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1465,19
"Monolocale via Matteo Maria Boiardo,11, Turro, Milano",precotto-turro,850,20
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1595,22
"Bilocale viale Monza, Villa San Giovanni, Milano",precotto-turro,1100,49
"Monolocale via Sant'Uguzzone,5, Villa San Giovanni, Milano",precotto-turro,1150,40
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1925,43
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60
"Trilocale via Rovigno,15, Turro, Milano",precotto-turro,1800,60
"Bilocale viale Monza,114, Turro, Milano",precotto-turro,1250,55
"Monolocale via Sant'Uguzzone,5, Villa San Giovanni, Milano",precotto-turro,1100,40
"Bilocale via Pirano, Gorla, Milano",precotto-turro,700,45
"Monolocale via Ilarione Rancati 37, Turro, Milano",precotto-turro,675,36
