Name,Zone,Price,Surface
"Appartamento all'asta via Gaspare Aselli 14, Milano",citta-studi-susa,95608,64
"Appartamento all'asta via Antonio Vallisneri 11, Milano",citta-studi-susa,297000,82
"Appartamento all'asta via Pompeo Cambiasi 5, Milano",citta-studi-susa,71250,27
"Appartamento all'asta via Giovanni Pascoli 2, Milano",citta-studi-susa,87912,66
"Appartamento all'asta via CARDINAL MEZZOFANTI , 24/a, Milano",citta-studi-susa,474055,150
"Appartamento all'asta via Dalmazio Birago 2, Milano",citta-studi-susa,76451,58
"Appartamento all'asta via Illirico 1, Milano",citta-studi-susa,77330,55
"Appartamento all'asta via Gaspare Aselli 6, Milano",citta-studi-susa,115028,77
"Appartamento all'asta via Pompeo Cambiasi, 5, Milano",citta-studi-susa,71250,27
"Appartamento all'asta via Illirico 1, Milano",citta-studi-susa,50616,36
"Appartamento all'asta via Giovanni Pascoli 2, Milano",citta-studi-susa,72520,49
"Appartamento all'asta piazzale Susa, 7, Milano",citta-studi-susa,147000,40
"Appartamento all'asta via Dalmazio Birago 2, Milano",citta-studi-susa,68543,52
"Appartamento all'asta piazzale Susa 7, Milano",citta-studi-susa,147000,46
"Appartamento all'asta via Pompeo Cambiasi 5, Milano",citta-studi-susa,88500,30
"Appartamento all'asta via Cardinal Mezzofanti , 24/A, Milano",citta-studi-susa,886295,230
"Appartamento all'asta via Giovanni Pascoli 4, Milano",citta-studi-susa,58183,37
"Appartamento all'asta via Giovanni Pascoli 4, Milano",citta-studi-susa,108040,73
"Appartamento all'asta via Pompeo Cambiasi 8, Milano",citta-studi-susa,277500,115
"Appartamento all'asta viale Argonne, 35, Milano",citta-studi-susa,88825,55
"Appartamento all'asta via Pompeo Cambiasi 5, Milano",citta-studi-susa,88500,30
"Appartamento all'asta piazzale Susa 7, Milano",citta-studi-susa,147000,40
"Appartamento all'asta via Illirico 1, Milano",citta-studi-susa,46398,33
"Appartamento all'asta via Giovanni Pascoli 2, Milano",citta-studi-susa,69190,44
"Appartamento all'asta via Cardinal Mezzofanti , 24, Milano",citta-studi-susa,664721,226
"Appartamento all'asta piazzale Susa, 7, Milano",citta-studi-susa,147000,47
"Appartamento all'asta via illirico, 3, Milano",citta-studi-susa,78750,46
"Appartamento all'asta via Giovanni Pascoli 4, Milano",citta-studi-susa,51800,35
"Appartamento all'asta piazzale Susa , 7, Milano",citta-studi-susa,147000,39
"Appartamento all'asta via Giovanni Pascoli, 2, Milano",citta-studi-susa,89300,47
"Appartamento all'asta viale Argonne	', 35, Milano",citta-studi-susa,88825,55
"Appartamento all'asta via Antonio Vallisneri , 11, Milano",citta-studi-susa,297000,82
"Appartamento all'asta via Pompeo Cambiasi 8, Milano",citta-studi-susa,277500,120
"Appartamento all'asta via  Antonio Vallisneri, 11, Milano",citta-studi-susa,297000,82
"Appartamento all'asta via CARDINAL MEZZOFANTI , 24/a, Milano",citta-studi-susa,474055,164
"Appartamento all'asta via cambiasi, 5, Milano",citta-studi-susa,88500,30
